customer_id,full_name,customer_segment,city,last_order_date,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_segment
1,"Aarav Sharma",Premium,Mumbai,2026-04-10,105,12,329079.00,4,5,5,14,Champion
6,"Ananya Nair",Premium,Kochi,2026-05-28,57,9,301191.00,5,5,4,14,Champion
3,"Rohan Mehta",Premium,Delhi,2026-02-15,159,11,496991.00,3,5,5,13,Champion
9,"Arjun Bose",Premium,Kolkata,2026-03-14,132,9,314996.00,4,4,5,13,Champion
12,"Divya Krishnan",Premium,Bengaluru,2026-05-06,79,8,282191.00,5,4,4,13,Champion
24,"Preethi Subramaniam",Premium,Chennai,2026-01-19,186,5,257998.00,3,4,4,11,"Loyal Customer"
48,"Priyanka Chatterjee",Premium,Kolkata,2026-04-22,93,4,232998.00,4,3,4,11,"Loyal Customer"
18,"Ritika Agarwal",Premium,Delhi,2026-03-27,119,6,188191.00,4,4,3,11,"Loyal Customer"
27,"Varun Bajaj",Premium,Ludhiana,2026-05-18,67,4,69494.00,5,3,2,10,"Loyal Customer"
15,"Nikhil Rao",Premium,Bengaluru,2025-12-28,208,5,171996.00,2,3,3,8,"Potential Loyalist"
22,"Shruti Kapoor",Premium,Delhi,2025-09-02,325,5,146242.00,2,3,3,8,"Potential Loyalist"
33,"Harsh Vardhan",Premium,Noida,2026-03-01,145,4,111995.00,3,2,2,7,"Potential Loyalist"
30,"Lakshmi Venkat",Premium,Hyderabad,2025-04-04,476,4,154988.00,1,2,3,6,"At Risk"
45,"Vivek Anand",Premium,Bengaluru,2025-10-25,272,4,84691.00,2,2,2,6,"At Risk"
42,"Chitra Subash",Premium,Chennai,2026-02-02,172,3,64598.00,3,2,1,6,"At Risk"
39,"Aditya Kumar",Premium,Delhi,2025-09-15,312,3,109296.00,2,1,2,5,"At Risk"
36,"Pallavi Nair",Premium,Kochi,2025-02-14,525,2,8648.00,1,1,1,3,Lost
11,"Rahul Verma",Standard,Lucknow,2022-09-15,1408,1,7999.00,1,1,1,3,Lost
5,"Vikram Singh",Standard,Jaipur,2022-04-19,1557,1,3499.00,1,1,1,3,Lost
