customer_id,full_name,total_orders,total_revenue,lifespan_months,aov,purchase_frequency,historical_clv
3,"Rohan Mehta",11,496991.00,48,45181.00,0.2292,496991.00
1,"Aarav Sharma",12,329079.00,51,27423.25,0.2353,329079.00
9,"Arjun Bose",9,314996.00,48,34999.56,0.1875,314996.00
6,"Ananya Nair",9,301191.00,51,33465.67,0.1765,301191.00
12,"Divya Krishnan",8,282191.00,49,35273.88,0.1633,282191.00
24,"Preethi Subramaniam",5,257998.00,40,51599.60,0.1250,257998.00
48,"Priyanka Chatterjee",4,232998.00,26,58249.50,0.1538,232998.00
18,"Ritika Agarwal",6,188191.00,45,31365.17,0.1333,188191.00
15,"Nikhil Rao",5,171996.00,43,34399.20,0.1163,171996.00
30,"Lakshmi Venkat",4,154988.00,26,38747.00,0.1538,154988.00
22,"Shruti Kapoor",5,146242.00,37,29248.40,0.1351,146242.00
33,"Harsh Vardhan",4,111995.00,26,27998.75,0.1538,111995.00
39,"Aditya Kumar",3,109296.00,26,36432.00,0.1154,109296.00
45,"Vivek Anand",4,84691.00,22,21172.75,0.1818,84691.00
27,"Varun Bajaj",4,69494.00,42,17373.50,0.0952,69494.00
42,"Chitra Subash",3,64598.00,28,21532.67,0.1071,64598.00
36,"Pallavi Nair",2,8648.00,21,4324.00,0.0952,8648.00
5,"Vikram Singh",1,3499.00,0,3499.00,NULL,NULL
11,"Rahul Verma",1,7999.00,0,7999.00,NULL,NULL
