customer_id,full_name,total_orders,total_revenue,aov,purchase_freq_per_year,avg_lifespan_months,projected_clv
3,"Rohan Mehta",11,496991.00,45181.00,0.9167,37.0,127699.08
1,"Aarav Sharma",12,329079.00,27423.25,1.0000,37.0,84555.02
9,"Arjun Bose",9,314996.00,34999.56,0.7500,37.0,80936.47
6,"Ananya Nair",9,301191.00,33465.67,0.7500,37.0,77389.35
12,"Divya Krishnan",8,282191.00,35273.88,0.6667,37.0,72507.41
24,"Preethi Subramaniam",5,257998.00,51599.60,0.4167,37.0,66291.15
48,"Priyanka Chatterjee",4,232998.00,58249.50,0.3333,37.0,59867.54
18,"Ritika Agarwal",6,188191.00,31365.17,0.5000,37.0,48354.63
15,"Nikhil Rao",5,171996.00,34399.20,0.4167,37.0,44193.42
30,"Lakshmi Venkat",4,154988.00,38747.00,0.3333,37.0,39823.31
22,"Shruti Kapoor",5,146242.00,29248.40,0.4167,37.0,37576.07
33,"Harsh Vardhan",4,111995.00,27998.75,0.3333,37.0,28776.49
39,"Aditya Kumar",3,109296.00,36432.00,0.2500,37.0,28083.00
45,"Vivek Anand",4,84691.00,21172.75,0.3333,37.0,21760.88
27,"Varun Bajaj",4,69494.00,17373.50,0.3333,37.0,17856.10
42,"Chitra Subash",3,64598.00,21532.67,0.2500,37.0,16598.10
36,"Pallavi Nair",2,8648.00,4324.00,0.1667,37.0,2222.06
11,"Rahul Verma",1,7999.00,7999.00,0.0833,37.0,2055.30
5,"Vikram Singh",1,3499.00,3499.00,0.0833,37.0,899.05
